9
Framenumber:     0 Time [yr]:   0.000 Step:          1 Energy:  -0.198E+30
Venus       3  0.309E+08  0.104E+09 -0.374E+06 -0.338E+02  0.988E+01  0.208E+01
Earth       4 -0.141E+09 -0.491E+08 -0.130E+05  0.945E+01 -0.282E+02  0.152E-02
Mars        5 -0.108E+09 -0.199E+09 -0.157E+07  0.222E+02 -0.940E+01 -0.743E+00
Jupiter     6 -0.564E+09 -0.580E+09  0.150E+08  0.922E+01 -0.848E+01 -0.171E+00
Saturn      7  0.850E+08 -0.150E+10  0.227E+08  0.911E+01  0.516E+00 -0.372E+00
Uranus      8  0.262E+10  0.140E+10 -0.288E+08 -0.326E+01  0.569E+01  0.631E-01
Neptune     9  0.430E+10 -0.124E+10 -0.736E+08  0.147E+01  0.525E+01 -0.143E+00
9
Framenumber:    11 Time [yr]:   0.349 Step:      11000 Energy:  -0.198E+30
Sun         1  0.167E+06  0.993E+06 -0.155E+05 -0.114E-01  0.736E-02  0.274E-03
Mercury     2 -0.220E+08 -0.650E+08 -0.337E+07  0.364E+02 -0.131E+02 -0.441E+01
Venus       3 -0.392E+07  0.108E+09  0.169E+07 -0.352E+02 -0.149E+01  0.201E+01
Earth       4 -0.129E+09 -0.761E+08 -0.115E+05  0.148E+02 -0.257E+02  0.139E-02
Mars        5 -0.848E+08 -0.208E+09 -0.230E+07  0.233E+02 -0.706E+01 -0.721E+00
Jupiter     6 -0.555E+09 -0.589E+09  0.148E+08  0.936E+01 -0.834E+01 -0.175E+00
Saturn      7  0.941E+08 -0.150E+10  0.224E+08  0.911E+01  0.574E+00 -0.373E+00
Uranus      8  0.262E+10  0.141E+10 -0.287E+08 -0.328E+01  0.568E+01  0.633E-01
Neptune     9  0.430E+10 -0.123E+10 -0.738E+08  0.146E+01  0.526E+01 -0.143E+00
9
Framenumber:    12 Time [yr]:   0.380 Step:      12000 Energy:  -0.198E+30
Sun         1  0.155E+06  0.100E+07 -0.152E+05 -0.116E-01  0.722E-02  0.278E-03
Mercury     2  0.162E+08 -0.647E+08 -0.686E+07  0.375E+02  0.140E+02 -0.230E+01
Venus       3 -0.383E+08  0.101E+09  0.358E+07 -0.329E+02 -0.127E+02  0.172E+01
Earth       4 -0.112E+09 -0.100E+09 -0.102E+05  0.195E+02 -0.222E+02  0.122E-02
Mars        5 -0.611E+08 -0.214E+09 -0.301E+07  0.242E+02 -0.456E+01 -0.690E+00
Jupiter     6 -0.545E+09 -0.597E+09  0.147E+08  0.949E+01 -0.819E+01 -0.178E+00
Saturn      7  0.103E+09 -0.150E+10  0.220E+08  0.910E+01  0.633E+00 -0.374E+00
Uranus      8  0.262E+10  0.142E+10 -0.287E+08 -0.329E+01  0.567E+01  0.634E-01
Neptune     9  0.431E+10 -0.123E+10 -0.739E+08  0.146E+01  0.526E+01 -0.143E+00
9
Framenumber:    13 Time [yr]:   0.412 Step:      13000 Energy:  -0.198E+30
Sun         1  0.144E+06  0.101E+07 -0.150E+05 -0.117E-01  0.706E-02  0.282E-03
Mercury     2  0.472E+08 -0.372E+08 -0.746E+07  0.211E+02  0.401E+02  0.134E+01
Venus       3 -0.685E+08  0.831E+08  0.508E+07 -0.271E+02 -0.227E+02  0.125E+01
Earth       4 -0.903E+08 -0.120E+09 -0.907E+04  0.234E+02 -0.179E+02  0.101E-02
Mars        5 -0.365E+08 -0.217E+09 -0.368E+07  0.248E+02 -0.194E+01 -0.649E+00
Jupiter     6 -0.536E+09 -0.605E+09  0.145E+08  0.963E+01 -0.804E+01 -0.182E+00
Saturn      7  0.112E+09 -0.150E+10  0.216E+08  0.910E+01  0.691E+00 -0.375E+00
Uranus      8  0.261E+10  0.142E+10 -0.286E+08 -0.330E+01  0.566E+01  0.636E-01
Neptune     9  0.431E+10 -0.122E+10 -0.741E+08  0.145E+01  0.526E+01 -0.142E+00
9
Framenumber:    14 Time [yr]:   0.444 Step:      14000 Energy:  -0.198E+30
Sun         1  0.132E+06  0.101E+07 -0.147E+05 -0.119E-01  0.690E-02  0.287E-03
Mercury     2  0.505E+08  0.104E+08 -0.386E+07 -0.184E+02  0.501E+02  0.578E+01
Venus       3 -0.914E+08  0.565E+08  0.603E+07 -0.184E+02 -0.301E+02  0.645E+00
Earth       4 -0.654E+08 -0.136E+09 -0.817E+04  0.264E+02 -0.130E+02  0.784E-03
Mars        5 -0.116E+08 -0.217E+09 -0.430E+07  0.251E+02  0.790E+00 -0.599E+00
Jupiter     6 -0.526E+09 -0.613E+09  0.143E+08  0.976E+01 -0.789E+01 -0.186E+00
Saturn      7  0.121E+09 -0.150E+10  0.212E+08  0.909E+01  0.750E+00 -0.375E+00
Uranus      8  0.261E+10  0.143E+10 -0.285E+08 -0.332E+01  0.566E+01  0.637E-01
Neptune     9  0.431E+10 -0.122E+10 -0.742E+08  0.144E+01  0.526E+01 -0.142E+00
9
Framenumber:    15 Time [yr]:   0.475 Step:      15000 Energy:  -0.198E+30
Sun         1  0.120E+06  0.102E+07 -0.144E+05 -0.120E-01  0.674E-02  0.292E-03
Mercury     2  0.946E+07  0.460E+08  0.280E+07 -0.575E+02  0.117E+02  0.623E+01
Venus       3 -0.105E+09  0.239E+08  0.634E+07 -0.772E+01 -0.344E+02 -0.270E-01
Earth       4 -0.380E+08 -0.146E+09 -0.751E+04  0.283E+02 -0.757E+01  0.536E-03
Mars        5  0.135E+08 -0.215E+09 -0.487E+07  0.251E+02  0.359E+01 -0.540E+00
Jupiter     6 -0.516E+09 -0.621E+09  0.141E+08  0.989E+01 -0.773E+01 -0.189E+00
